ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
55,6,6,5,5,5,2,7,7,5,6,3,6,7,5,2,1,3,2,6,7,2,7,4,7,6,7,5,3,6,7,6,7,2,5,6,6,4,6,6,3,6,7,1,7,6,7,6,7
56,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7
57,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,5
58,6,6,7,4,5,6,6,7,6,6,4,6,7,6,6,6,6,4,7,7,6,7,5,7,4,7,7,6,7,7,7,7,7,6,6,7,6,7,7,7,7,7,4,7,7,4,7,7
59,7,4,1,2,7,4,6,4,5,2,7,7,7,5,4,4,1,2,7,7,7,5,7,7,1,7,7,7,7,3,7,2,1,7,7,7,7,3,7,7,7,7,7,7,7,3,7,7
60,5,6,5,6,5,3,6,7,6,6,3,6,7,6,3,3,4,4,7,7,6,5,4,5,4,7,5,4,3,6,4,7,3,3,7,2,6,6,4,3,7,7,4,7,6,7,6,4
61,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,5,6,7,7,7,6,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,6
62,7,6,6,5,7,3,7,7,7,5,3,5,6,7,3,7,3,3,7,7,7,4,3,7,3,7,7,7,6,7,6,7,7,6,7,6,7,7,7,4,7,7,7,7,7,7,6,5
63,5,6,6,6,6,3,6,7,5,5,6,7,5,4,3,4,5,6,5,5,6,6,7,6,7,5,6,7,5,7,5,6,6,6,6,5,6,6,5,5,7,7,4,7,5,7,5,3
64,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,2,7,6,7,7,7,7,6,7,6,7,7,4,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
65,5,7,7,4,6,5,7,7,7,7,7,7,7,7,3,4,4,7,7,7,6,7,6,7,7,7,7,7,7,6,7,3,7,7,7,7,7,6,7,7,7,7,7,7,7,7,4,5
66,5,7,6,5,5,3,6,6,5,6,4,5,7,4,2,6,5,4,6,6,5,4,6,5,2,7,3,6,5,7,5,5,4,7,6,7,6,6,5,6,6,6,1,7,7,7,5,5
67,5,4,4,4,6,6,3,5,2,6,5,5,6,6,5,5,6,3,5,5,5,3,3,5,4,5,6,5,5,7,4,4,2,6,6,6,6,5,6,3,7,5,1,5,5,7,3,3
68,6,7,6,6,5,6,7,6,6,6,6,6,6,5,5,5,5,6,7,7,7,6,6,6,6,6,5,6,6,6,7,6,7,6,6,6,6,7,6,6,7,7,6,7,6,6,6,6
69,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7,6,7,7,7,7,7,7,7,7,7,7,7,6,4,7,2,7,7,7,7,7,7,7,7
70,6,6,7,4,6,3,6,6,6,5,6,5,6,7,6,4,5,6,7,6,5,4,5,6,5,6,6,6,6,6,6,6,5,6,6,6,5,5,6,6,5,6,6,7,5,6,4,5
71,5,7,6,6,6,6,6,6,5,6,4,4,7,3,2,5,4,5,7,6,5,5,5,6,2,6,4,6,6,6,4,6,3,6,6,7,7,6,6,6,6,7,1,7,6,6,4,5
