ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
109,4,2,4,6,4,3,3,4,2,5,4,4,5,5,4,2,5,5,3,4,4,4,2,3,4,4,4,2,4,4,4,3,5,4,5,4,4,3,4,4
110,3,2,7,2,7,6,2,2,1,1,1,1,1,1,1,1,2,6,6,6,3,6,6,5,7,7,5,7,7,7,7,7,7,1,7,6,5,6,5,7
111,5,6,6,5,6,6,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6
112,5,4,7,7,7,6,7,7,2,3,3,3,3,1,1,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7
113,7,7,7,7,7,7,7,7,6,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
114,6,5,7,6,6,6,1,6,1,2,3,1,3,1,1,2,2,3,6,2,6,7,4,2,6,6,6,7,6,7,7,7,7,7,7,7,7,7,6,7
115,6,3,5,6,5,6,5,3,2,4,1,3,2,2,3,3,5,3,6,6,6,5,3,5,5,3,3,3,6,5,5,3,5,3,5,6,5,5,3,6
116,7,6,7,4,7,7,7,3,1,5,1,4,1,1,1,7,4,7,5,7,5,7,6,7,7,7,3,7,7,7,6,7,7,6,7,7,6,7,7,7
117,7,7,7,7,7,7,6,4,1,4,4,2,5,1,1,6,2,6,7,6,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7
118,7,1,7,7,7,7,7,6,1,6,1,1,1,1,1,1,4,6,5,6,6,5,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7
119,5,4,5,6,6,4,5,5,5,4,3,5,5,2,5,4,5,5,5,5,5,5,5,4,5,6,6,5,4,5,4,5,6,5,3,6,4,5,5,7
120,7,6,7,7,7,7,6,4,1,3,2,2,2,1,1,4,3,6,6,5,7,6,5,6,7,6,7,7,7,7,7,7,7,7,7,7,6,7,6,7
121,2,3,7,4,5,7,7,2,1,1,1,1,1,1,1,7,1,7,7,1,1,7,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
122,2,2,6,2,2,4,3,3,1,2,2,2,2,2,2,2,4,6,2,5,4,6,6,3,6,6,5,6,5,6,5,5,6,4,6,6,3,5,6,6
123,6,6,6,6,7,7,6,6,2,5,5,6,5,1,1,6,6,7,7,6,6,7,7,6,7,7,7,6,7,7,6,7,7,7,7,7,6,7,7,7
124,6,4,5,4,4,5,5,5,2,5,5,4,3,4,3,4,4,6,4,5,5,4,5,4,4,5,3,5,5,4,5,3,5,4,5,3,4,5,5,4
125,7,6,7,7,7,6,5,5,2,5,2,3,3,3,6,4,5,6,7,7,7,7,7,4,7,3,5,7,7,6,7,7,7,7,7,7,6,7,7,7
126,6,5,6,5,5,6,5,5,4,4,4,4,4,4,2,4,5,7,6,5,6,6,6,5,6,7,6,2,6,5,5,5,7,5,7,6,5,6,5,7
127,5,4,7,5,5,5,7,7,1,3,2,1,2,1,1,3,2,6,6,5,4,5,6,3,7,6,7,6,5,7,6,7,6,7,7,5,4,6,7,7
128,7,6,3,6,4,1,6,4,1,1,1,3,1,1,1,6,7,6,5,7,7,7,5,7,7,7,7,5,6,7,7,7,4,7,7,7,7,6,7,6
129,6,6,7,7,7,7,6,6,2,7,4,3,4,1,2,3,7,7,6,7,7,7,7,2,7,7,6,7,7,7,7,7,7,7,7,7,4,6,7,7
130,7,7,7,6,7,7,7,5,1,4,2,2,2,1,5,2,6,7,6,6,7,7,7,3,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
131,2,3,3,4,5,5,4,5,1,3,2,2,3,4,1,2,2,5,4,4,6,4,3,6,5,6,6,6,5,6,5,5,5,6,6,6,3,5,6,5
132,7,7,7,7,7,7,6,7,2,6,2,2,2,1,1,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
133,3,3,2,2,6,6,7,6,1,1,1,1,1,1,1,4,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7
134,6,6,7,6,6,4,6,4,2,2,2,2,2,1,1,1,4,6,6,6,6,6,6,4,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6
135,5,5,6,3,6,6,6,5,5,6,5,6,5,5,2,5,6,6,5,6,5,5,5,6,5,6,6,5,6,5,6,6,5,6,5,5,6,6,6,5
136,6,6,7,2,7,6,5,5,1,2,1,2,2,1,1,3,2,5,6,2,5,2,4,1,5,7,6,7,6,2,6,7,7,7,7,7,2,7,7,7
137,6,6,6,6,6,6,5,6,1,6,2,1,2,1,1,6,4,6,6,5,7,5,7,3,6,7,6,7,6,7,7,7,7,7,7,7,6,7,7,7
138,4,4,4,5,5,6,6,5,3,4,3,3,4,3,3,4,4,5,5,5,6,5,5,5,6,5,6,5,6,7,6,6,6,5,5,5,5,6,5,5
139,7,5,7,6,4,7,4,1,1,1,1,1,1,1,1,1,6,5,5,4,4,7,3,3,7,3,5,7,6,7,7,4,7,7,7,7,5,7,4,4
140,6,6,6,6,3,3,5,4,3,3,3,2,3,2,2,4,2,5,7,5,7,5,5,4,6,5,7,5,6,7,6,7,7,6,7,7,6,7,7,7
141,7,7,6,7,6,7,2,5,1,2,1,1,5,1,1,2,3,7,7,6,7,7,7,2,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7
142,1,5,5,2,5,6,5,5,1,2,2,2,2,6,1,5,5,5,5,5,5,5,2,2,6,5,6,4,5,5,6,5,5,5,4,5,6,5,6,5
143,5,5,7,6,7,7,5,7,1,2,1,1,1,1,2,5,5,6,5,7,5,6,6,5,7,7,7,6,6,7,7,6,7,7,7,7,3,7,7,7
144,4,3,3,4,3,3,7,2,1,3,3,2,2,1,2,2,3,6,4,5,5,6,3,2,5,4,4,5,5,4,6,4,5,3,5,6,4,5,5,4
145,7,5,7,7,7,7,7,7,5,6,6,6,7,4,3,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7
146,4,3,4,4,4,4,3,4,5,4,3,3,5,4,4,2,4,4,4,4,3,4,3,3,4,6,5,5,5,6,6,5,3,5,4,5,3,4,4,4
